INPUT_DATA_WIDTH,INPUT_BUS_WIDTH,CONFIG_BUS_WIDTH,OUTPUT_DATA_WIDTH,OUTPUT_BUS_WIDTH,TOTAL_LAYERS,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
8,64,64,4,8,4,338.1805884342239,45930,1728000,36734,1728000,9196,791040,22009,3456000,267,216000,4,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,45930,432000,0,432000,0,432000,0,432000,36734,432000,0,432000,0,432000,0,432000,9196,197760,0,197760,0,197760,0,197760,22009,864000,0,864000,0,864000,0,864000,267,54000,0,54000,0,54000,0,54000,4,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,322.3726627981947,45935,1728000,36739,1728000,9196,791040,21932,3456000,267,216000,4,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,45935,432000,0,432000,0,432000,0,432000,36739,432000,0,432000,0,432000,0,432000,9196,197760,0,197760,0,197760,0,197760,21932,864000,0,864000,0,864000,0,864000,267,54000,0,54000,0,54000,0,54000,4,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,429.3688278231001,46312,1728000,37111,1728000,9201,791040,22498,3456000,267,216000,4,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,46312,432000,0,432000,0,432000,0,432000,37111,432000,0,432000,0,432000,0,432000,9201,197760,0,197760,0,197760,0,197760,22498,864000,0,864000,0,864000,0,864000,267,54000,0,54000,0,54000,0,54000,4,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,429.3688278231001,46312,1728000,37111,1728000,9201,791040,22498,3456000,267,216000,4,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,46312,432000,0,432000,0,432000,0,432000,37111,432000,0,432000,0,432000,0,432000,9201,197760,0,197760,0,197760,0,197760,22498,864000,0,864000,0,864000,0,864000,267,54000,0,54000,0,54000,0,54000,4,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,535.9056806002143,27739,1728000,20547,1728000,7192,791040,12414,3456000,89,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,27739,432000,0,432000,0,432000,0,432000,20547,432000,0,432000,0,432000,0,432000,7192,197760,0,197760,0,197760,0,197760,12414,864000,0,864000,0,864000,0,864000,89,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,542.299349240781,28235,1728000,21044,1728000,7191,791040,12735,3456000,89,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28235,432000,0,432000,0,432000,0,432000,21044,432000,0,432000,0,432000,0,432000,7191,197760,0,197760,0,197760,0,197760,12735,864000,0,864000,0,864000,0,864000,89,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,562.7462014631401,28267,1728000,21076,1728000,7191,791040,12725,3456000,89,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28267,432000,0,432000,0,432000,0,432000,21076,432000,0,432000,0,432000,0,432000,7191,197760,0,197760,0,197760,0,197760,12725,864000,0,864000,0,864000,0,864000,89,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,627.3525721455459,28136,1728000,20943,1728000,7193,791040,14411,3456000,201,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28136,432000,0,432000,0,432000,0,432000,20943,432000,0,432000,0,432000,0,432000,7193,197760,0,197760,0,197760,0,197760,14411,864000,0,864000,0,864000,0,864000,201,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,624.2197253433209,28151,1728000,20958,1728000,7193,791040,14442,3456000,201,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28151,432000,0,432000,0,432000,0,432000,20958,432000,0,432000,0,432000,0,432000,7193,197760,0,197760,0,197760,0,197760,14442,864000,0,864000,0,864000,0,864000,201,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,632.1112515802782,28143,1728000,20950,1728000,7193,791040,14418,3456000,201,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28143,432000,0,432000,0,432000,0,432000,20950,432000,0,432000,0,432000,0,432000,7193,197760,0,197760,0,197760,0,197760,14418,864000,0,864000,0,864000,0,864000,201,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,619.1950464396285,28127,1728000,20933,1728000,7194,791040,14550,3456000,201,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28127,432000,0,432000,0,432000,0,432000,20933,432000,0,432000,0,432000,0,432000,7194,197760,0,197760,0,197760,0,197760,14550,864000,0,864000,0,864000,0,864000,201,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,651.0416666666666,28145,1728000,20941,1728000,7204,791040,17558,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28145,432000,0,432000,0,432000,0,432000,20941,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17558,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,659.6306068601583,28135,1728000,20931,1728000,7204,791040,17515,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28135,432000,0,432000,0,432000,0,432000,20931,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17515,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,629.3266205160478,28136,1728000,20932,1728000,7204,791040,17548,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28136,432000,0,432000,0,432000,0,432000,20932,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17548,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,659.6306068601583,28135,1728000,20931,1728000,7204,791040,17515,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28135,432000,0,432000,0,432000,0,432000,20931,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17515,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,633.7135614702155,28154,1728000,20950,1728000,7204,791040,17511,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,1,23040,0,23040,0,23040,0,23040,1,23040,0,23040,28147,432000,0,432000,0,432000,7,432000,20943,432000,0,432000,0,432000,7,432000,7204,197760,0,197760,0,197760,0,197760,17504,864000,0,864000,0,864000,7,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,659.6306068601583,28135,1728000,20931,1728000,7204,791040,17515,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28135,432000,0,432000,0,432000,0,432000,20931,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17515,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,659.6306068601583,28135,1728000,20931,1728000,7204,791040,17515,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28135,432000,0,432000,0,432000,0,432000,20931,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17515,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,659.6306068601583,28135,1728000,20931,1728000,7204,791040,17515,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28135,432000,0,432000,0,432000,0,432000,20931,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17515,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
8,64,64,4,8,4,645.9948320413437,28196,1728000,20992,1728000,7204,791040,17531,3456000,713,216000,1,864000,0,432000,0,216000,0,2688,0,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,28196,432000,0,432000,0,432000,0,432000,20992,432000,0,432000,0,432000,0,432000,7204,197760,0,197760,0,197760,0,197760,17531,864000,0,864000,0,864000,0,864000,713,54000,0,54000,0,54000,0,54000,1,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,0,672,0,672,0,672,0,672,0,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
